medicinalproduct,activesubstancename,rancount,activesubstancecount,source
EPALRESTAT,EPALRESTAT,16.01,64,faers
CYLOFT,EPALRESTAT,1.01,64,faers
KERATIN,KERATIN,5.007,7,faers
SULCEF,CEFOPERAZONE\SULBACTAM,1.022,17,faers
CEFOPERAZONE W/SULBACTAM,CEFOPERAZONE\SULBACTAM,4.022,17,faers
CEFOPERAZONE/SULBACTAM,CEFOPERAZONE\SULBACTAM,6.022,17,faers
CEFOPERAZONE SULBACTAM,CEFOPERAZONE\SULBACTAM,1.022,17,faers
LIMETHASONE,DEXAMETHASONE PALMITATE\GLYCERIN\LECITHIN\SOYBEAN OIL,3.053,8,faers
IRON + FOLIC ACID,FOLIC ACID\IRON,1.015,3,faers
CEROVITE,FOLIC ACID\IRON,2.015,3,faers
ADVIL SINUS CONGESTION AND PAIN,IBUPROFEN\PHENYLEPHRINE HYDROCHLORIDE,8.037,452,faers
ADVIL CONGESTION RELIEF,IBUPROFEN\PHENYLEPHRINE HYDROCHLORIDE,25.037,452,faers
ANTACID,ALUMINUM HYDROXIDE\CALCIUM CARBONATE\DIMETHICONE\MAGNESIUM HYDROXIDE,24.068,49,faers
MENATETRENONE,MENATETRENONE,15.013,119,faers
KAYTWO N,MENATETRENONE,12.013,119,faers
KAYTWO,MENATETRENONE,13.013,119,faers
GLAKAY,MENATETRENONE,23.013,119,faers
TRMADOL WITH ACETAMINOPHEN,ACETAMINOPHEN\TRAMADOL,2.022,852,faers
TRAMCET,ACETAMINOPHEN\TRAMADOL,44.022,852,faers
TRAMADOL W/PARACETAMOL,ACETAMINOPHEN\TRAMADOL,1.022,852,faers
TRAMADOL-PARACETAMOL (UNKNOWN),ACETAMINOPHEN\TRAMADOL,4.022,852,faers
TRAMADOL+PARACETAMOL SANDOZ,ACETAMINOPHEN\TRAMADOL,1.022,852,faers
TRAMADOL PARACETAMOL ARROW,ACETAMINOPHEN\TRAMADOL,1.022,852,faers
TRAMADOL-PARACETAMOL ACTAVIS,ACETAMINOPHEN\TRAMADOL,3.022,852,faers
TRAMADOL+PARACETAMOL,ACETAMINOPHEN\TRAMADOL,9.022,852,faers
TRAMADOL/PARACETAMOL,ACETAMINOPHEN\TRAMADOL,26.022,852,faers
"TRAMADOL, PARACETAMOL",ACETAMINOPHEN\TRAMADOL,1.022,852,faers
TRAMADOL + PARACETAMOL,ACETAMINOPHEN\TRAMADOL,2.022,852,faers
TRAMADOL HYDROCHLORIDE AND ACETA 37.5-325 TAB APO APOTEX CORP,ACETAMINOPHEN\TRAMADOL,1.022,852,faers
TRAMADOL HCL AND ACETAMINOPHEN,ACETAMINOPHEN\TRAMADOL,2.022,852,faers
TRAMADOL HCL + ACETAMINOPHEN,ACETAMINOPHEN\TRAMADOL,3.022,852,faers
TRAMADOL /APAP,ACETAMINOPHEN\TRAMADOL,1.022,852,faers
TRAMADOL/ACETAMINOPHEN,ACETAMINOPHEN\TRAMADOL,17.022,852,faers
TRAMADOL-ACETAMINOPHEN,ACETAMINOPHEN\TRAMADOL,4.022,852,faers
PARAMACET,ACETAMINOPHEN\TRAMADOL,6.022,852,faers
PARACETAMOL/ TRAMADOL,ACETAMINOPHEN\TRAMADOL,1.022,852,faers
PARACETAMOL/TRAMADOL,ACETAMINOPHEN\TRAMADOL,8.022,852,faers
"PARACETAMOL, TRAMADOL",ACETAMINOPHEN\TRAMADOL,2.022,852,faers
"PARACETAMOL,TRAMADOL",ACETAMINOPHEN\TRAMADOL,2.022,852,faers
IXPRIM (ACETAMINOPHEN (+) TRAMADOL HYDROCHLORIDE),ACETAMINOPHEN\TRAMADOL,13.022,852,faers
ACETAMYPHEN+TRAMADOL,ACETAMINOPHEN\TRAMADOL,1.022,852,faers
ACETAMINOPHEN/TRAMADOL,ACETAMINOPHEN\TRAMADOL,4.022,852,faers
FISH OIL /00492901/,COD LIVER OIL,1.013,428,faers
FISH OIL                           /00492901/,COD LIVER OIL,8.013,428,faers
COD LIVER OIL (UNKNOWN),COD LIVER OIL,1.013,428,faers
COD LIVER OIL,COD LIVER OIL,43.013,428,faers
COD LIVER,COD LIVER OIL,10.013,428,faers
SMALLPOX VACCINE,VACCINIA VIRUS STRAIN NEW YORK CITY BOARD OF HEALTH LIVE ANTIGEN,3.064,3,faers
NATALBEN SUPRA,MINERALS\OMEGA-3 FATTY ACIDS\VITAMINS,1.037,2,faers
MAXIMUS A-Z COM OMEGA 3,MINERALS\OMEGA-3 FATTY ACIDS\VITAMINS,1.037,2,faers
ELMEX TOOTHPASTE MINT FREE PASTE,DECTAFLUR\OLAFLUR\SODIUM FLUORIDE,1.033,2,faers
ELMEX,DECTAFLUR\OLAFLUR\SODIUM FLUORIDE,1.033,2,faers
TENORDATE,ATENOLOL\NIFEDIPINE,16.019,28,faers
NIFELAT,ATENOLOL\NIFEDIPINE,4.019,28,faers
SALVARSAN,ARSPHENAMINE,1.012,1,faers
"VITAMIN/MINERAL SUPPLEMENT WITH MAGNESIUM CARBONATE, CALCIUM CARBONATE AND FOLIC ACID",CALCIUM CARBONATE\FOLIC ACID\MAGNESIUM CARBONATE,1.048,1,faers
TIBERAL,ORNIDAZOLE,9.01,21,faers
ORNISID FORT,ORNIDAZOLE,1.01,21,faers
ORNIDAZOLE,ORNIDAZOLE,9.01,21,faers
TRIAVIL,AMITRIPTYLINE HYDROCHLORIDE\PERPHENAZINE,9.04,26,faers
PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE\PERPHENAZINE,1.04,26,faers
MUTABON,AMITRIPTYLINE HYDROCHLORIDE\PERPHENAZINE,5.04,26,faers
ETRAFON-FORTE,AMITRIPTYLINE HYDROCHLORIDE\PERPHENAZINE,1.04,26,faers
ETRAFON,AMITRIPTYLINE HYDROCHLORIDE\PERPHENAZINE,1.04,26,faers
AMITRIPTYLINE HYDROCHLORIDE/PERPHENAZINE,AMITRIPTYLINE HYDROCHLORIDE\PERPHENAZINE,1.04,26,faers
TENEX,GUANFACINE HYDROCHLORIDE,40.024,833,faers
INTUNIV 3MG GENERIC FORM GUANFACINE,GUANFACINE HYDROCHLORIDE,1.024,833,faers
INTUNIV,GUANFACINE HYDROCHLORIDE,40.024,833,faers
INTNUIV GENERIC GUANFACINE,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GUANFACINO HCL ER 2 MG PER HPARM,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GUANFACINE HYDROCHLORIDE EXTENDED-RELEASE TABLETS,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GUANFACINE HYDROCHLORIDE 3 MG ACTAVIS,GUANFACINE HYDROCHLORIDE,2.024,833,faers
GUANFACINE HYDROCHLORIDE.,GUANFACINE HYDROCHLORIDE,16.024,833,faers
GUANFACINE HCL GUANFACINE HCL 3MG WHOLESALE CORPORATION COSTCO,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GUANFACINE HCL ER 3MG ACTAVIS PHARMA,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GUANFACINE HCL ER 2 MG TAB ACTAVIS PHAR,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GUANFACINE HCL ER 2MG ACTAVIS PHARMA,GUANFACINE HYDROCHLORIDE,3.024,833,faers
GUANFACINE HCL ER 1 MG TAB ACTAVIS PHAR.,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GUANFACINE HCL ER,GUANFACINE HYDROCHLORIDE,2.024,833,faers
GUANFACINE HCL,GUANFACINE HYDROCHLORIDE,9.024,833,faers
GUANFACINE/GUANFACINE HYDROCHLORIDE,GUANFACINE HYDROCHLORIDE,1.024,833,faers
"GUAFACINE HCL 2 MG TABLET, EXTENDED RELEASE",GUANFACINE HYDROCHLORIDE,1.024,833,faers
GUAFACINE HCL 1 MG UNKNOWN,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GENERIC INTUNIV ER,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GENERIC INTUNIV ACTAVIS,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GENERIC INTUNIV 3MG SANDOZ,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GENERIC INTUNIV 3MG ACTAVIS,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GENERIC INTUNIV 3 MG,GUANFACINE HYDROCHLORIDE,2.024,833,faers
GENERIC INTUIV 2 MG,GUANFACINE HYDROCHLORIDE,1.024,833,faers
GENERIC EQUIVALENT FOR INTUNIV 4 MG,GUANFACINE HYDROCHLORIDE,1.024,833,faers
503 (GUANFACINE HYDROCHLORIDE),GUANFACINE HYDROCHLORIDE,3.024,833,faers
SILYMARIN,MILK THISTLE,28.012,462,faers
SILYBUM MARIANUM SEED,MILK THISTLE,1.012,462,faers
MILK THISTLE,MILK THISTLE,42.012,462,faers
LEGALON 70 MG,MILK THISTLE,1.012,462,faers
LEGALON,MILK THISTLE,31.012,462,faers
TEMERIT 5 MG COMPRIME QUADRISECABLE,NEBIVOLOL,1.009,1560,faers
TEMERIT,NEBIVOLOL,43.009,1560,faers
SILOSTAR,NEBIVOLOL,3.009,1560,faers
NOBITEN                            /01339101/,NEBIVOLOL,3.009,1560,faers
NEVIBOLOL DCI,NEBIVOLOL,2.009,1560,faers
NEVIBOLOL,NEBIVOLOL,1.009,1560,faers
NEBIVOLOL (UNKNOWN),NEBIVOLOL,5.009,1560,faers
NEBIVOLOLO,NEBIVOLOL,2.009,1560,faers
NEBIVOLOL NGX,NEBIVOLOL,1.009,1560,faers
NEBIVOLOL (NEBIVOLOL) (NEBIVOLOL),NEBIVOLOL,7.009,1560,faers
NEBIVOLOL MYLAN 5MG,NEBIVOLOL,1.009,1560,faers
NEBIVOLOL HCL,NEBIVOLOL,1.009,1560,faers
NEBIVOLOL APOTEX,NEBIVOLOL,1.009,1560,faers
NEBIVOLOL ACTAVIS,NEBIVOLOL,6.009,1560,faers
NEBIVOLOL 5MG,NEBIVOLOL,2.009,1560,faers
NEBIVOLOL /01339102/,NEBIVOLOL,1.009,1560,faers
NEBIVOLOL                          /01339102/,NEBIVOLOL,1.009,1560,faers
NEBIVOLOL.,NEBIVOLOL,18.009,1560,faers
NEBIVOLOL,NEBIVOLOL,24.009,1560,faers
NEBILET,NEBIVOLOL,41.009,1560,faers
MERITOR (NON AZ PRODUCT),GLIMEPIRIDE\METFORMIN,1.021,55,faers
MERITOR,GLIMEPIRIDE\METFORMIN,15.021,55,faers
GLIMEPIRIDE W/METFORMIN,GLIMEPIRIDE\METFORMIN,4.021,55,faers
GLIMEPIRIDE+METFORMIN HCL,GLIMEPIRIDE\METFORMIN,1.021,55,faers
AMARYL M,GLIMEPIRIDE\METFORMIN,16.021,55,faers
ECHOGEN,PERFLENAPENT,1.012,1,faers
ZONA,HYDROCORTISONE BUTYRATE,1.023,169,faers
LOCOIDON,HYDROCORTISONE BUTYRATE,2.023,169,faers
LOCOID LIPOCREAM,HYDROCORTISONE BUTYRATE,5.023,169,faers
LOCOID,HYDROCORTISONE BUTYRATE,35.023,169,faers
HYDROCORTISONE BUTYRATE CREAM USP 0.1%,HYDROCORTISONE BUTYRATE,2.023,169,faers
HYDROCORTISONE BUTYRATE CREAM (LIPID) 0.1%,HYDROCORTISONE BUTYRATE,1.023,169,faers
HYDROCORTISONE BUTYRATE.,HYDROCORTISONE BUTYRATE,23.023,169,faers
ALFASON,HYDROCORTISONE BUTYRATE,1.023,169,faers
THEOBROMINE (THEOBROMINE),THEOBROMINE,2.011,27,faers
THEOBROMINE,THEOBROMINE,12.011,27,faers
LYSANTIN,ORPHENADRINE HYDROCHLORIDE,4.026,10,faers
DISIPAL,ORPHENADRINE HYDROCHLORIDE,4.026,10,faers
RIAMET,ARTEMETHER\LUMEFANTRINE,15.023,72,faers
CO-ARTESIANE,ARTEMETHER\LUMEFANTRINE,2.023,72,faers
COARTEM,ARTEMETHER\LUMEFANTRINE,17.023,72,faers
CGP 56697,ARTEMETHER\LUMEFANTRINE,3.023,72,faers
ARTEMETHER+LUMEFANTRINE,ARTEMETHER\LUMEFANTRINE,1.023,72,faers
"ARTEMETHER,BENFLUMETOL",ARTEMETHER\LUMEFANTRINE,3.023,72,faers
ARTEMETHER + BENFLUMETOL,ARTEMETHER\LUMEFANTRINE,1.023,72,faers
A FANTRINE,ARTEMETHER\LUMEFANTRINE,1.023,72,faers
TIOTIL,PROPYLTHIOURACIL,1.016,179,faers
THIURAGYL,PROPYLTHIOURACIL,1.016,179,faers
PTU,PROPYLTHIOURACIL,9.016,179,faers
PROPYLTHIOURACIL (UNKNOWN),PROPYLTHIOURACIL,5.016,179,faers
PROPYLTHIOURACIL TABLETS 50 MG,PROPYLTHIOURACIL,6.016,179,faers
PROPYLTHIOURACIL.,PROPYLTHIOURACIL,39.016,179,faers
PROPYL-THIOURACIL,PROPYLTHIOURACIL,1.016,179,faers
PROPYLTHIOURACAL TABLETS 50 MG,PROPYLTHIOURACIL,1.016,179,faers
SOMNUBENE,FLUNITRAZEPAM,1.013,929,faers
SILECE,FLUNITRAZEPAM,43.013,929,faers
ROHYPNOL (FLUNITRAZEPAM),FLUNITRAZEPAM,7.013,929,faers
ROHYPNOL,FLUNITRAZEPAM,43.013,929,faers
ROHIPNOL,FLUNITRAZEPAM,5.013,929,faers
FLUNITRAZEPAM (UNKNOWN),FLUNITRAZEPAM,1.013,929,faers
FLUNITRAZEPAM (FLUNITRAZEPAM),FLUNITRAZEPAM,2.013,929,faers
FLUNITRAZEPAM (FLUNITAZEPAM),FLUNITRAZEPAM,1.013,929,faers
FLUNITRAZEPAM,FLUNITRAZEPAM,43.013,929,faers
FLUNIPAM,FLUNITRAZEPAM,1.013,929,faers
FLUMITRAZEPAN,FLUNITRAZEPAM,1.013,929,faers
BIBITTOACE,FLUNITRAZEPAM,8.013,929,faers
STANDARDIZED SHORT RAGWEED POLLEN,AMBROSIA ARTEMISIIFOLIA POLLEN,4.03,174,faers
RAGWITEK,AMBROSIA ARTEMISIIFOLIA POLLEN,28.03,174,faers
GUANIFACINE,GUANFACINE,3.01,359,faers
GUANFACINE XR,GUANFACINE,1.01,359,faers
GUANFACINE (WATSON LABORATORIES),GUANFACINE,2.01,359,faers
"GUANFACINE TABLETS, USP",GUANFACINE,1.01,359,faers
GUANFACINE IR 3 MG TOTAL,GUANFACINE,1.01,359,faers
GUANFACINE (GUANFACINE),GUANFACINE,2.01,359,faers
GUANFACINE EXTENDED-RELEASE,GUANFACINE,1.01,359,faers
GUANFACINE ER 4MG TABLET,GUANFACINE,1.01,359,faers
GUANFACINE ER 4 MG ACTAVIS PHARMACEUTICAL,GUANFACINE,1.01,359,faers
GUANFACINE ER 3MG TAB.,GUANFACINE,1.01,359,faers
GUANFACINE ER 3MG ACTIVIS,GUANFACINE,4.01,359,faers
GUANFACINE ER 3MG ACTAVIS,GUANFACINE,1.01,359,faers
GUANFACINE ER 3MG,GUANFACINE,3.01,359,faers
GUANFACINE ER 2 MG ACTAVIS,GUANFACINE,2.01,359,faers
GUANFACINE ER 2MG,GUANFACINE,2.01,359,faers
GUANFACINE ER 1 MG ACTAVIS,GUANFACINE,2.01,359,faers
GUANFACINE ER,GUANFACINE,17.01,359,faers
GUANFACINE (AELLC),GUANFACINE,11.01,359,faers
GUANFACINE 3 MG,GUANFACINE,1.01,359,faers
GUANFACINE 2MG ER,GUANFACINE,1.01,359,faers
GUANFACINE 1 MG SR,GUANFACINE,1.01,359,faers
GUANFACINE.,GUANFACINE,43.01,359,faers
GLATOPA,GLATIRAMER ACETATE,17.018,8948,faers
GLATIRAMER ACETATE.,GLATIRAMER ACETATE,25.018,8948,faers
COPAXONE,GLATIRAMER ACETATE,42.018,8948,faers
TRIMETAZIDINE (UNKNOWN),TRIMETAZIDINE,1.013,110,faers
TRIMETAZIDINE NOS,TRIMETAZIDINE,1.013,110,faers
TRIMETAZIDINE HCL,TRIMETAZIDINE,2.013,110,faers
TRIMETAZIDINE,TRIMETAZIDINE,35.013,110,faers
TRIMETAZIDINA MYLAN,TRIMETAZIDINE,2.013,110,faers
PROTEVASC 35 MG TABLETY S PRODLOUENYM UVOLOVANIM,TRIMETAZIDINE,1.013,110,faers
UMECLIDINIUM BR+VILANTEROL TRIFENATATE INHALATION POWDER,UMECLIDINIUM BROMIDE\VILANTEROL TRIFENATATE,2.043,1428,faers
UMECLIDINIUM BR+VILANTEROL TRIFENATATE,UMECLIDINIUM BROMIDE\VILANTEROL TRIFENATATE,17.043,1428,faers
BLINDED UMECLIDINIUM BR+VILANTEROL TRIFENATATE,UMECLIDINIUM BROMIDE\VILANTEROL TRIFENATATE,5.043,1428,faers
ANORO ELLIPTA,UMECLIDINIUM BROMIDE\VILANTEROL TRIFENATATE,34.043,1428,faers
DIBUCAINE HYDROCHLORIDE,DIBUCAINE HYDROCHLORIDE,1.023,1,faers
CIMZIA,CERTOLIZUMAB PEGOL,42.018,6362,faers
CERTOLIZUMAB PEGOL RA,CERTOLIZUMAB PEGOL,45.018,6362,faers
CERTOLIZUMAB PEGOL PSA,CERTOLIZUMAB PEGOL,28.018,6362,faers
CERTOLIZUMAB PEGOL JIA,CERTOLIZUMAB PEGOL,6.018,6362,faers
CERTOLIZUMAB PEGOL CD,CERTOLIZUMAB PEGOL,31.018,6362,faers
CERTOLIZUMAB PEGOL ASP,CERTOLIZUMAB PEGOL,23.018,6362,faers
CERTOLIZUMAB PEGOL,CERTOLIZUMAB PEGOL,37.018,6362,faers
CERTOLIZUMAB/CERTOLIZUMAB PEGOL,CERTOLIZUMAB PEGOL,1.018,6362,faers
BLINDED CERTOLIZUMAB PEGOL RA,CERTOLIZUMAB PEGOL,6.018,6362,faers
BLINDED CERTOLIZUMAB PEGOL ASP,CERTOLIZUMAB PEGOL,1.018,6362,faers
BLINDED CERTOLIZUMAB PEGOL,CERTOLIZUMAB PEGOL,1.018,6362,faers
SYNALAR,FLUOCINOLONE ACETONIDE,11.022,131,faers
RETISERT,FLUOCINOLONE ACETONIDE,7.022,131,faers
OTOSYNALAR,FLUOCINOLONE ACETONIDE,2.022,131,faers
ILUVIEN,FLUOCINOLONE ACETONIDE,1.022,131,faers
GELARGIN,FLUOCINOLONE ACETONIDE,3.022,131,faers
FLUOCINOLONE ACETONIDE INTRAVITREAL IMPLANT (0.5 MG),FLUOCINOLONE ACETONIDE,3.022,131,faers
FLUOCINOLONE ACETONIDE CREAM USP 0.1%,FLUOCINOLONE ACETONIDE,1.022,131,faers
FLUOCINOLONE ACETONIDE 0.01%,FLUOCINOLONE ACETONIDE,3.022,131,faers
FLUOCINOLONE ACETONIDE.,FLUOCINOLONE ACETONIDE,26.022,131,faers
DERMOTIC,FLUOCINOLONE ACETONIDE,6.022,131,faers
DERMA-SMOOTHE/FS,FLUOCINOLONE ACETONIDE,10.022,131,faers
CAPEX,FLUOCINOLONE ACETONIDE,2.022,131,faers
ALOR,FLUOCINOLONE ACETONIDE,2.022,131,faers
AMPHOTERICIN B (+) CHOLESTEROL (+) DISTEAROYLPHOSPHATIDYLGLYCEROL (+),AMPHOTERICIN B\CHOLESTEROL,3.026,3,faers
GANCICLOVIR SODIUM,GANCICLOVIR SODIUM,2.018,8,faers
CYTOVENE IV,GANCICLOVIR SODIUM,4.018,8,faers
CYMEVENE /00784202/,GANCICLOVIR SODIUM,1.018,8,faers
ZIDOVUDINE/STAVUDINE,STAVUDINE\ZIDOVUDINE,1.02,2,faers
PROCTYL,DIBUCAINE\POLICRESULEN,1.022,1,faers
TOFOGLIFLOZIN,TOFOGLIFLOZIN,2.013,12,faers
DEBERZA,TOFOGLIFLOZIN,1.013,12,faers
APLEWAY,TOFOGLIFLOZIN,8.013,12,faers
HALIBUT LIVER OIL,HALIBUT LIVER OIL,1.017,1,faers
ONEXTON,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,11.038,223,faers
INDOXYL GEL (BENZOYL PEROXIDE CLINDAMYCIN),BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,1.038,223,faers
DUAC GEL,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,11.038,223,faers
DUAC ACNE GEL GEL,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,2.038,223,faers
DUAC,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,24.038,223,faers
CLINDOXYL,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,7.038,223,faers
CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,3.038,223,faers
CLINDAMYCIN - BENZOYL PEROXIDE,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,12.038,223,faers
BLINDED BENZOYL PEROXIDE/ CLINDAMYCIN PHOSPHATE,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,1.038,223,faers
"BLINDED BENZOYL PEROXIDE, CLINDAMYCIN PHOSPHATE",BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,1.038,223,faers
BENZOYL PEROXIDE + CLINDAMYCIN PHOSPHATE GEL,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,7.038,223,faers
BENZOYL PEROXIDE/CLINDAMYCIN PHOSPHATE,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,1.038,223,faers
BENZOYL PEROXIDE + CLINDAMYCIN PHOSPHATE,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,7.038,223,faers
BENZACLIN GEL. GENERIC,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,2.038,223,faers
BENZACLIN,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,16.038,223,faers
ACANYA,BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,20.038,223,faers
SOLVIN (BROMHEXINE HYDROCHLORIDE),BROMHEXINE HYDROCHLORIDE,1.024,115,faers
SOLVEX (BROMHEXINE HYDROCHLORIDE),BROMHEXINE HYDROCHLORIDE,1.024,115,faers
FLEGAMINA,BROMHEXINE HYDROCHLORIDE,1.024,115,faers
FLEGAMIN /00004701/,BROMHEXINE HYDROCHLORIDE,1.024,115,faers
FLEGAMIN,BROMHEXINE HYDROCHLORIDE,1.024,115,faers
BROMHEXINE HYDROCHLORIDE,BROMHEXINE HYDROCHLORIDE,14.024,115,faers
BROMHEXINE HCL,BROMHEXINE HYDROCHLORIDE,4.024,115,faers
BISOLVON,BROMHEXINE HYDROCHLORIDE,34.024,115,faers
STARFORM,METFORMIN\NATEGLINIDE,4.021,6,faers
ADRENALINE                         /00948302/,LEVONORDEFRIN,1.013,1,faers
XINKANG,ISOSORBIDE MONONITRATE,2.022,4094,faers
UNIKET RETARD,ISOSORBIDE MONONITRATE,2.022,4094,faers
UNIKET,ISOSORBIDE MONONITRATE,10.022,4094,faers
PROMOCARD,ISOSORBIDE MONONITRATE,7.022,4094,faers
MONOTAB,ISOSORBIDE MONONITRATE,2.022,4094,faers
MONOMAX SR(ISOSORBIDE MONONITRATE),ISOSORBIDE MONONITRATE,1.022,4094,faers
MONO MACK DEPOT,ISOSORBIDE MONONITRATE,2.022,4094,faers
MONO MACK,ISOSORBIDE MONONITRATE,1.022,4094,faers
MONOKET,ISOSORBIDE MONONITRATE,25.022,4094,faers
MONOCORDIL,ISOSORBIDE MONONITRATE,39.022,4094,faers
MONOCINQUE - 20 MG COMPRESSE - ISTITUTO LUSO FARMACO D ITALIA S.P.A,ISOSORBIDE MONONITRATE,1.022,4094,faers
MONOCINQUE,ISOSORBIDE MONONITRATE,18.022,4094,faers
MONO CEDOCARD RETARD CAPSULE MGA 100MG,ISOSORBIDE MONONITRATE,1.022,4094,faers
MONICOR LP,ISOSORBIDE MONONITRATE,5.022,4094,faers
MONICOR,ISOSORBIDE MONONITRATE,19.022,4094,faers
ITOROL,ISOSORBIDE MONONITRATE,37.022,4094,faers
ISOSORB MONO,ISOSORBIDE MONONITRATE,13.022,4094,faers
ISOSORBITMONONITRATE,ISOSORBIDE MONONITRATE,1.022,4094,faers
ISOSORBID MONONITRATE,ISOSORBIDE MONONITRATE,10.022,4094,faers
ISOSORBIDE MONONITRATO,ISOSORBIDE MONONITRATE,1.022,4094,faers
ISOSORBIDE MONONITRATE (UNKNOWN),ISOSORBIDE MONONITRATE,10.022,4094,faers
ISOSORBIDE MONONITRATE (LUNAN),ISOSORBIDE MONONITRATE,1.022,4094,faers
ISOSORBIDE MONONITRATE (ISOSORIBIDE MONONITRATE),ISOSORBIDE MONONITRATE,1.022,4094,faers
ISOSORBIDE MONONITRATE (ISOSORBIDE MONONITRATE),ISOSORBIDE MONONITRATE,11.022,4094,faers
ISOSORBIDE MONONITRATE EXTENDED-RELEASE TABLET USP,ISOSORBIDE MONONITRATE,3.022,4094,faers
ISOSORBIDE MONONITRATE EXTENDED RELEASE,ISOSORBIDE MONONITRATE,25.022,4094,faers
ISOSORBIDE MONONITRATE ER TABLETS 60MG,ISOSORBIDE MONONITRATE,1.022,4094,faers
ISOSORBIDE MONONITRATE ER TABLETS,ISOSORBIDE MONONITRATE,4.022,4094,faers
ISOSORBIDE MONONITRATE COX,ISOSORBIDE MONONITRATE,5.022,4094,faers
"ISOSORBIDE MONONITRATE (AELLC) (ISOSORBIDE MONONITRATE) TABLET, 10MG",ISOSORBIDE MONONITRATE,1.022,4094,faers
ISOSORBIDE MONONITRATE (AELLC),ISOSORBIDE MONONITRATE,1.022,4094,faers
ISOSORBIDE MONONITRATE.,ISOSORBIDE MONONITRATE,42.022,4094,faers
ISOSORBIDE MN,ISOSORBIDE MONONITRATE,19.022,4094,faers
ISORSORBIDE MONONITRATE EXTENDED-RELEASE,ISOSORBIDE MONONITRATE,1.022,4094,faers
ISMOX,ISOSORBIDE MONONITRATE,3.022,4094,faers
ISMO,ISOSORBIDE MONONITRATE,23.022,4094,faers
ISMN JADRAN,ISOSORBIDE MONONITRATE,2.022,4094,faers
ISMN,ISOSORBIDE MONONITRATE,16.022,4094,faers
IS 5 MONO,ISOSORBIDE MONONITRATE,3.022,4094,faers
IMDUR,ISOSORBIDE MONONITRATE,44.022,4094,faers
ELANTAN,ISOSORBIDE MONONITRATE,16.022,4094,faers
EFFOX,ISOSORBIDE MONONITRATE,8.022,4094,faers
CARDIOVAS,ISOSORBIDE MONONITRATE,1.022,4094,faers
DOBUTAMINE HYDROCHLORIDE IN DEXTROSE,DEXTROSE MONOHYDRATE\DEXTROSE MONOHYDRATE\DOBUTAMINE HYDROCHLORIDE\DOBUTAMINE HYDROCHLORIDE,20.091,405,faers
LUTETIUM (LU 177),LUTETIUM LU-177,8.015,16,faers
ZOLEDRONATE DISODIUM,ZOLEDRONATE DISODIUM,1.02,4,faers
CGP 42446,ZOLEDRONATE DISODIUM,1.02,4,faers
BLINDED ZOLEDRONATE,ZOLEDRONATE DISODIUM,2.02,4,faers
GEMCITABINE/GEMCITABINE HYDROCHLORI DE,GEMCITABINE\GEMCITABINE HYDROCHLORIDE,1.037,3615,faers
GEMCITABINE/GEMCITABINE HYDROCHLORIDE,GEMCITABINE\GEMCITABINE HYDROCHLORIDE,37.037,3615,faers
GEMCITABINE,GEMCITABINE\GEMCITABINE HYDROCHLORIDE,37.037,3615,faers
GEMCITABINA (GEMCITABINE) UNKNOWN,GEMCITABINE\GEMCITABINE HYDROCHLORIDE,1.037,3615,faers
SYNDOL (ACETAMINOPHEN\CAFFEINE\CODEINE\DOXYLAMINE),ACETAMINOPHEN\CAFFEINE\CODEINE\DOXYLAMINE,1.041,3,faers
SIMTUZUMAB,SIMTUZUMAB,1.01,2,faers
BLINDED SIMTUZUMAB,SIMTUZUMAB,1.01,2,faers
ULTRAVIST? 300,IOPROMIDE,2.009,416,faers
ULTRAVIST,IOPROMIDE,39.009,416,faers
