"medicinalproduct","activesubstancename"
"LBH589","PANOBINOSTAT"
"FARYDAK","PANOBINOSTAT"
"HYDROCORTISONE ACEPONATE","HYDROCORTISONE ACEPONATE"
"VITAMIN E\VITAMINS",".ALPHA.-TOCOPHEROL\VITAMINS"
"NEOMYCIN SULFATE.","NEOMYCIN SULFATE"
"NEOMIXEN","NEOMYCIN SULFATE"
"DEXTROMYCIN","NEOMYCIN SULFATE"
"ARTICAINE","ARTICAINE"
"TETRACYCLINE (UNKNOWN)","TETRACYCLINE"
"TETRACYCLINE TETRACYCLINE 500 MG","TETRACYCLINE"
"TETRACYCLINE (TETRACYCLINE)","TETRACYCLINE"
"TETRACYCLINE ACTAVIS (UNKNOWN)","TETRACYCLINE"
"TETRACYCLINE 500 MG BID GENERIC WALMART MCKESSON, HERITAGE PHARMACETUS NJ","TETRACYCLINE"
"TETRACYCLINE","TETRACYCLINE"
"TETRACYCLIN ACTAVIS","TETRACYCLINE"
"SUMYCIN","TETRACYCLINE"
"BLINDED TETRACYCLINE","TETRACYCLINE"
"URFADYN","NIFURTOINOL"
"NIFURTOINOL","NIFURTOINOL"
"POTASSIUM DICHROMATE","POTASSIUM DICHROMATE"
"OPIPRAMOL HYDROCHLORIDE","OPIPRAMOL HYDROCHLORIDE"
"INSIDON","OPIPRAMOL HYDROCHLORIDE"
"POLIOMYELITIS VACCINE (INACTIVATED)","POLIOVIRUS TYPE 1 ANTIGEN (FORMALDEHYDE INACTIVATED)\POLIOVIRUS TYPE 2 ANTIGEN (FORMALDEHYDE INACTIVATED)\POLIOVIRUS TYPE 3 ANTIGEN (FORMALDEHYDE INACTIVATED)"
"PAMNASE","MEDAZEPAM"
"MEDAZEPAM","MEDAZEPAM"
"ANGIOTENSIN","ANGIOTENSIN"
"AUTOLOGOUS SERUM","HUMAN SERUM, NORMAL"
"VASTEN /00880402/","PRAVASTATIN SODIUM"
"VASTEN                             /00880402/","PRAVASTATIN SODIUM"
"VASTEN","PRAVASTATIN SODIUM"
"SODIUM PRAVASTATINE","PRAVASTATIN SODIUM"
"SELIPRAN","PRAVASTATIN SODIUM"
"SELEKTINE","PRAVASTATIN SODIUM"
"PREVASTATIN SODIUM","PRAVASTATIN SODIUM"
"PRAVSTATIN SODIUM TABLETS 10 MG. GLENMARK GENERICS","PRAVASTATIN SODIUM"
"PRAVATIN","PRAVASTATIN SODIUM"
"PRAVASTAT SODIC","PRAVASTATIN SODIUM"
"PRAVASTATIN TABLET 5 MG ^AMEL^","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM (WATSON LABORATORIES)","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM (UNKNOWN)","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM TABLETS USP 80MG","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM TABLETS USP 40 MG","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM TABLETS USP 40MG","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM TABLETS USP 20MG","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM TABLETS USP 10 MG","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM TABLETS USP","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM TABLETS 40MG (PRAVASTATIN) TABLET, 40MG","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM TABLET 5 MG ^AMEL^","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM TABLET 10 MG ^AMEL^","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM (COMMON NAME PRAVACHOL) GLENMARK PHARM","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM 5 MG TABLETS (AMEL)","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM 20 MG","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM 10 MG TABLETS","PRAVASTATIN SODIUM"
"PRAVASTATIN SODIUM.","PRAVASTATIN SODIUM"
"PRAVASTATIN (PRAVASTATIN) TABLET","PRAVASTATIN SODIUM"
"PRAVASTATIN NA TABLETS 5MG ^KH^","PRAVASTATIN SODIUM"
"PRAVASTATIN NA TABLETS 10MG ^KH^","PRAVASTATIN SODIUM"
"PRAVASTATIN NA TABLET 5 MG ^AMEL^","PRAVASTATIN SODIUM"
"PRAVASTATIN NA 20 MG TAB V.A. DUBLIN (PROVIDER)","PRAVASTATIN SODIUM"
"PRAVASTATINE ZENTIVA","PRAVASTATIN SODIUM"
"PRAVASTATINE SODIUM","PRAVASTATIN SODIUM"
"PRAVASTATINE SODIC","PRAVASTATIN SODIUM"
"PRAVASTATINE NA","PRAVASTATIN SODIUM"
"PRAVASTATINE MYLAN 10 MG","PRAVASTATIN SODIUM"
"PRAVASTATIN ARROW","PRAVASTATIN SODIUM"
"PRAVASTATINA","PRAVASTATIN SODIUM"
"PRAVASTATIN                        /00880402/","PRAVASTATIN SODIUM"
"PRAVASIN PROTECT","PRAVASTATIN SODIUM"
"PRAVASINE","PRAVASTATIN SODIUM"
"PRAVASIN","PRAVASTATIN SODIUM"
"PRAVALOTIN MEPHA","PRAVASTATIN SODIUM"
"PRAVALOTIN","PRAVASTATIN SODIUM"
"PRAVACOL","PRAVASTATIN SODIUM"
"PRAVACHOL","PRAVASTATIN SODIUM"
"PRAVA","PRAVASTATIN SODIUM"
"PRATIN (PRAVASTATIN SODIUM)","PRAVASTATIN SODIUM"
"PL 20075/0020 PRAVASTATIN SODIUM TABLETS 40MG","PRAVASTATIN SODIUM"
"PAMITOR","PRAVASTATIN SODIUM"
"MEVATORTE","PRAVASTATIN SODIUM"
"MEVALOTIN TABLET 10MG","PRAVASTATIN SODIUM"
"MEVALOTIN (PRAVASTATIN SODIUM)","PRAVASTATIN SODIUM"
"MEVALOTIN  (PRAVASTATIN SODIUM)","PRAVASTATIN SODIUM"
"MEVALOTIN","PRAVASTATIN SODIUM"
"MAIBASTAN","PRAVASTATIN SODIUM"
"LIPOVAS TABLETS - 5","PRAVASTATIN SODIUM"
"LIPOVAS TABLETS 5","PRAVASTATIN SODIUM"
"LIPOVAS","PRAVASTATIN SODIUM"
"LIPOSTAT","PRAVASTATIN SODIUM"
"LIDUC M","PRAVASTATIN SODIUM"
"ELISOR TABS 20 MG","PRAVASTATIN SODIUM"
"ELISOR (PRAVASTATIN SODIUM) FORMULATION UNKNOWN","PRAVASTATIN SODIUM"
"ELISOR","PRAVASTATIN SODIUM"
"BLINDED PRAVASTATIN SODIUM","PRAVASTATIN SODIUM"
"APLACTIN - F.I.R.M.A. S.P.A.","PRAVASTATIN SODIUM"
"APLACTIN","PRAVASTATIN SODIUM"
"FIDAXOMICIN BLINDED","FIDAXOMICIN"
"FIDAXOMICIN","FIDAXOMICIN"
"DIFICLIR","FIDAXOMICIN"
"DIFICID","FIDAXOMICIN"
"BLINDED FIDAXOMICIN","FIDAXOMICIN"
"TILUR RETARD","ACEMETACIN"
"TILUR","ACEMETACIN"
"RANTUDIL","ACEMETACIN"
"ACEMETACINE","ACEMETACIN"
"ACEMETACIN","ACEMETACIN"
"RAGWEED MIXTURE","AMBROSIA ARTEMISIIFOLIA POLLEN\AMBROSIA BIDENTATA POLLEN\AMBROSIA PSILOSTACHYA POLLEN\AMBROSIA TRIFIDA POLLEN"
"ZOFENOPRIL CALCIUM","ZOFENOPRIL CALCIUM"
"MYLAN MEBEVERINE","MEBEVERINE"
"MEBEVERINE (UNKNOWN)","MEBEVERINE"
"MEBEVERINE (MEBEVERINE)","MEBEVERINE"
"MEBEVERINE","MEBEVERINE"
"DUSPATAL","MEBEVERINE"
"RIMANTADINE","RIMANTADINE HYDROCHLORIDE"
"FLUMADINE","RIMANTADINE HYDROCHLORIDE"
"VANADIUM.","VANADIUM"
"SUGAMMADEX SODIUM","SUGAMMADEX SODIUM"
"ZOPRAZIDE","HYDROCHLOROTHIAZIDE\ZOFENOPRIL CALCIUM"
"SIMETHICONE","DIMETHICONE\SILICON DIOXIDE\SIMETHICONE"
"LAMIVUDINE ABACAVIR SULFATE","ABACAVIR SULFATE\LAMIVUDINE"
"LAMIVUDINA+ABACAVIR","ABACAVIR SULFATE\LAMIVUDINE"
"KIVEXA","ABACAVIR SULFATE\LAMIVUDINE"
"EPZICOM","ABACAVIR SULFATE\LAMIVUDINE"
"BLINDED ABACAVIR SULFATE + LAMIVUDINE","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULPHATE, LAMIVUDINE","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULFATE + LAMIVUDINE TABLET","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULFATE + LAMIVUDINE FILM-COATED TABLET","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULFATE + LAMIVUDINE (ABACAVIR SULPHATE, LAMIVUDINE) UNKNOWN","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULFATE/LAMIVUDINE(ABACAVIR SULFATE/LAMIVUDINE)UKNOWN","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULFATE/LAMIVUDINE","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULFATE + LAMIVUDINE","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULFATE (+) LAMIVUDINE","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULFATE  + LAMIVUDINE","ABACAVIR SULFATE\LAMIVUDINE"
"ABACAVIR SULFATE/LA/LAMIVUDINE","ABACAVIR SULFATE\LAMIVUDINE"
"(17, FILM-COATED TABLET) (LAMIVUDINE, ABACAVIR SULFATE)","ABACAVIR SULFATE\LAMIVUDINE"
"PIASCLEDINE (FRANCE)","AVOCADO OIL\SOYBEAN OIL"
"PIASCLEDINE                        /00809501/","AVOCADO OIL\SOYBEAN OIL"
"PIASCLEDINE","AVOCADO OIL\SOYBEAN OIL"
"ANAGRELIDE (ANAGRELIDE)","ANAGRELIDE"
"ANAGRELIDE 0.5MG","ANAGRELIDE"
"ANAGRELIDE","ANAGRELIDE"
"422 (ANAGRELIDE)","ANAGRELIDE"
"GLUCOSAMINE CHONDROITIN + MSM","CHONDROITIN SULFATE (BOVINE)\DIMETHYL SULFONE\GLUCOSAMINE SULFATE"
"CHONDROITIN SULFATE (BOVINE)\DIMETHYL SULFONE\GLUCOSAMINE SULFATE","CHONDROITIN SULFATE (BOVINE)\DIMETHYL SULFONE\GLUCOSAMINE SULFATE"
"PAROMOMYCIN","PAROMOMYCIN"
"MALTODEXTRIN","MALTODEXTRIN"
"CYTRA-2","CITRIC ACID MONOHYDRATE\TRISODIUM CITRATE DIHYDRATE"
"OXILAN","IOXILAN"
"NEXPLANON","ETONOGESTREL"
"IMPLANON","ETONOGESTREL"
"ETOPLAN","ETONOGESTREL"
"ETONOGESTREL IMPLANT- UNKNOWN","ETONOGESTREL"
"ETONOGESTREL 68 MG","ETONOGESTREL"
"ETONOGESTREL","ETONOGESTREL"
"68MG IMPLANT/INPLANTING ETONOGESTREL","ETONOGESTREL"
"URINORM","BENZBROMARONE"
"TREBIANOM","BENZBROMARONE"
"NARCARICIN","BENZBROMARONE"
"BENZMARONE MITA","BENZBROMARONE"
"BENZMARONE (BENZBROMARONE) TABLET","BENZBROMARONE"
"BENZMARONE","BENZBROMARONE"
"BENZBROMARONE","BENZBROMARONE"
"PROSED/DS","BENZOIC ACID\HYOSCYAMINE SULFATE\METHENAMINE\METHYLENE BLUE\PHENYL SALICYLATE"
"METHYLPHEN","BENZOIC ACID\HYOSCYAMINE SULFATE\METHENAMINE\METHYLENE BLUE\PHENYL SALICYLATE"
"HYOPHEN","BENZOIC ACID\HYOSCYAMINE SULFATE\METHENAMINE\METHYLENE BLUE\PHENYL SALICYLATE"
"ISKEMIL","DIHYDROERGOCRISTINE MESYLATE"
"EURODIN (DIHYDROERGOCRISTINE MESYLATE)","DIHYDROERGOCRISTINE MESYLATE"
"EURODIN                            /00401202/","DIHYDROERGOCRISTINE MESYLATE"
"LIVACT /00847901/","ISOLEUCINE\LEUCINE\VALINE"
"LIVACT                             /00847901/","ISOLEUCINE\LEUCINE\VALINE"
"LICKLE","ISOLEUCINE\LEUCINE\VALINE"
"ISOLEUCINE W/LEUCINE/VALINE","ISOLEUCINE\LEUCINE\VALINE"
"SPASMOFEN","CODEINE HYDROCHLORIDE\METHSCOPOLAMINE NITRATE\MORPHINE HYDROCHLORIDE\ NOSCAPINE HYDROCHLORIDE\PAPAVERINE HYDROCHLORIDE"
"FRENADOL COMPLEX","ACETAMINOPHEN\ASCORBIC ACID\CAFFEINE CITRATE\CHLORPHENIRAMINE MALEATE\DEXTROMETHORPHAN HYDROBROMIDE"
"LAROPIPRANT","LAROPIPRANT"
"MAXFE","ASCORBIC ACID\BIOTIN\CYANOCOBALAMIN\DOCUSATE SODIUM\FOLIC ACID\IRON\MAGNESIUM\ZINC"
"GANTRISIN","SULFISOXAZOLE ACETYL"
"BENADRYL SPRAY","DIPHENHYDRAMINE\ZINC ACETATE"
"BENADRYL CREAM","DIPHENHYDRAMINE\ZINC ACETATE"
"SEROPHENE","CLOMIPHENE CITRATE"
"CLOMIPHENE CITRATE 50MG TABLET PAR PHARMACEUTICALS","CLOMIPHENE CITRATE"
"CLOMIPHENE CITRATE.","CLOMIPHENE CITRATE"
"CLOMID","CLOMIPHENE CITRATE"
"CHAPARRAL","LARREA TRIDENTATA TOP"
"INTEGRILIN","EPTIFIBATIDE"
"INTEGRALIN","EPTIFIBATIDE"
"EPTIFIBATIDE.","EPTIFIBATIDE"
"EPTIFIBATIDE","EPTIFIBATIDE"
"ZAGAM","SPARFLOXACIN"
"VORTIOXETINE","VORTIOXETINE"
"TRINTELLIX","VORTIOXETINE"
"BLINDED VORTIOXETINE","VORTIOXETINE"
"ISOCOMB","ETHAMBUTOL HYDROCHLORIDE\ISONIAZID\PYRAZINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIFAMPIN"
"GENERIC OF EXFORGE","AMLODIPINE BESYLATE\VALSARTAN"
"EXFORGE","AMLODIPINE BESYLATE\VALSARTAN"
"COPALIA","AMLODIPINE BESYLATE\VALSARTAN"
"AMLODIPINE VALSARTAN","AMLODIPINE BESYLATE\VALSARTAN"
"AMLODIPINE BESYLATE/VALSARTAN","AMLODIPINE BESYLATE\VALSARTAN"
"AMLODIPINE BESYLATE + VALSARTAN","AMLODIPINE BESYLATE\VALSARTAN"
"AMLODIPINE BESYLATE AND VALSARTAN","AMLODIPINE BESYLATE\VALSARTAN"
"AMLODIPINE BESILATE W/VALSARTAN","AMLODIPINE BESYLATE\VALSARTAN"
"AMLODIPINE BESILATE/VALSARTAN","AMLODIPINE BESYLATE\VALSARTAN"
"HYLANDS NERVE TONIC","CALCIUM PHOSPHATE\IRON\MAGNESIUM PHOSPHATE ANHYDROUS\POTASSIUM PHOSPHATE\SODIUM PHOSPHATE"
"NOSPIN","NOSCAPINE"
"NOSCAPINE (NOSCAPINE)","NOSCAPINE"
"NOSCAPINE","NOSCAPINE"
"CAPVAL","NOSCAPINE"
"BISOLNEX","NOSCAPINE"
"SOLMUCALM","ACETYLCYSTEINE\CHLORPHENIRAMINE MALEATE"
"DORZOL/TIMOLOL","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMID/TIMOLOL","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMIDE HYDROCHLORIDE-TIMOLOL MALEATE","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMIDE HYDROCHLORIDE (+) TIMOLOL MALEATE","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE DORZOLAMIDE WITH TIMOLOL","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMIDE HCL TIMOLOL MALEATE OPHTHALMIC SOLUTION","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMIDE HCL/TIMOLOL MALEATE","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMIDE HCL /TIMOLOL MALEATE","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMIDE HCL AND TIMOLOL MALEATE","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DORZOLAMID COMP","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"DOIZOLAMIDE HCL /TIMOLOL MALEATE OPTHALMIC SOLUTION BOUSCH + LOMB INC.","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"COSOPT PF","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"COSOPT","DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE"
"CAPREOMYCIN","CAPREOMYCIN"
"CAPREOMICIN","CAPREOMYCIN"
"POLYSORBATE 20.","POLYSORBATE 20"
"TERIPARATIDE ACETATE","TERIPARATIDE ACETATE"
"TERIBONE","TERIPARATIDE ACETATE"
"POLY-VI-SOL (ASCORBIC ACID, ERGOCALCIFEROL, NICOTINAMIDE, RETINOL, RIBOFLAVIN, THIAMINE)","ASCORBIC ACID\ERGOCALCIFEROL\NIACINAMIDE\RETINOL\RIBOFLAVIN\THIAMINE"
"SARGRAMOSTIM","SARGRAMOSTIM"
"LEUKINE","SARGRAMOSTIM"
"TRICLOSAN.","TRICLOSAN"
"SIMPLY RIGHT BODY CARE","TRICLOSAN"
"PURITAN","TRICLOSAN"
"MICROBAN / TRICLOSAN","TRICLOSAN"
"DIAL CLEAR AND REFRESH ANTIBACTERIAL HAND SOAP CLEAR","TRICLOSAN"
"DIAL ANTIBACTERIAL SOAP (TRICLOSAN)","TRICLOSAN"
"DAWN ULTRA CONCENTRATED APPLE BLOSSOM","TRICLOSAN"
"CV MEDICATED LOTION SOAP","TRICLOSAN"
"CETAPHIL GENTLE CLEANSING ANTIBACTERIAL BAR","TRICLOSAN"
"BLINDED TRICLOSAN","TRICLOSAN"
"ANTI-BACTERIAL GENTLE FOAMING HAND FRESH PICKED GARDEN HERBS","TRICLOSAN"
"POTABA","AMINOBENZOATE POTASSIUM"
"OPTALIDON /ITA/","ACETAMINOPHEN\CAFFEINE OR CAFFEINE\PROPYPHENAZONE OR IBUPROFEN"
"OPTALIDON /00109201/","ACETAMINOPHEN\CAFFEINE OR CAFFEINE\PROPYPHENAZONE OR IBUPROFEN"
"OPTALIDON                          /00109201/","ACETAMINOPHEN\CAFFEINE OR CAFFEINE\PROPYPHENAZONE OR IBUPROFEN"
"OPTALIDON","ACETAMINOPHEN\CAFFEINE OR CAFFEINE\PROPYPHENAZONE OR IBUPROFEN"
"LITHIUM (LITHIUM CARBONATE) UNKNOWN","LITHIUM"
"LITHIUM (LITHIUM CARBONATE)","LITHIUM"
"LITHIUM ION SOLUTION, USP 8MEQ/5ML","LITHIUM"
"LITHIUM CARBONATE (NON-SPECIFIC)","LITHIUM"
"LITHIUM.","LITHIUM"
"CARBOLITHIUM TEVA 150MG","LITHIUM"
"TRANCOPAL","CHLORMEZANONE"
"CHLORMEZANONE","CHLORMEZANONE"
"CETOSTEARYL ALCOHOL","CETOSTEARYL ALCOHOL"
"PROGESTERONE/DHEA IN VERSABASE","PRASTERONE\PROGESTERONE"
"SODIUM STIBOGLUCONATE","SODIUM STIBOGLUCONATE"
"PENTOSTAM","SODIUM STIBOGLUCONATE"
"BLINDED SODIUM STIBOGLUCONATE","SODIUM STIBOGLUCONATE"
"TUAMINOHEPTANE SULFATE","TUAMINOHEPTANE SULFATE"
"ALBAMYCIN","NOVOBIOCIN SODIUM"
"MK-3009","DAPTOMYCIN"
"DAPTOMYCINE","DAPTOMYCIN"
"DAPTOMYCIN (DAPTOMYCIN)","DAPTOMYCIN"
"DAPTOMYCIN 500 MG CUBIST PHARMACEUTICALS","DAPTOMYCIN"
"DAPTOMYCIN 500MG","DAPTOMYCIN"
"DAPTOMYCIN.","DAPTOMYCIN"
"DAPTOMYCIN","DAPTOMYCIN"
"CUBICIN","DAPTOMYCIN"
"BLINDED DAPTOMYCIN","DAPTOMYCIN"
"FLOGOPROFEN","ETOFENAMATE"
"RECOMBINANT HUMAN GRANULOCYTE COLONY-STIMULATING FACTOR (RHG-CSF)","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTE STIMULATING FACTORS","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTE STIMULATING FACTOR","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTES COLONY STIMULATING FACTORS","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTE-COLONY STIMULATING FACTORS (G-CSF) (GRANULATOCYTE-COLONY STIMULATING FACTORS (G-CSF))","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTE COLONY-STIMULATING FACTOR NOS","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTE COLONY-STIMULATING FACTOR (GCSF)","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTE COLONY-STIMULATING FACTOR","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTE COLONY STIMULATING FACTOR","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTE  COLONY  STIMULATING  FACTOR","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GRANULOCYTE COLONY STIMULATING","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"GM COLONY STIMULATING FACTOR (GRANULOCYTEMACROPHAGE COLONY-STIMULATING FACTOR)?","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"G-CSF (GRANULOCYTE COLONY STIMULATING FACTOR) (GRADULOCYTE COLONY STIMULATING FACTOR)","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"G-CSF (GRANULOCYTE COLONY STIMULATING FACTOR)","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"G-CSF (G-CSF)","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"G-CSF","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"FILGRASTIM/GRANULOCYTE COLONY STIMULATING/LENOGRASTIM","GRANULOCYTE COLONY-STIMULATING FACTOR NOS"
"CORICIDIN (ACETAMINOPHEN/CHLORPHENIRAMINE)","ACETAMINOPHEN\CHLORPHENIRAMINE"
"PHOSPHAZIDE (PHOSPHAZIDE)","PHOSPHAZIDE"
"PHOSPHAZIDE","PHOSPHAZIDE"
"PHOSPHAZID","PHOSPHAZIDE"
"NIKAVIR (PHOSPHAZIDE)","PHOSPHAZIDE"
"NIKAVIR","PHOSPHAZIDE"
"GELOX","ALUMINUM HYDROXIDE\MAGNESIUM HYDROXIDE\MONTMORILLONITE"
"BENTIROMIDE.","BENTIROMIDE"
"IODINE (I-125) SEEDS","IODINE I-125"
"IODINE, I-125","IODINE I-125"
"GLUCUROLACTONE","GLUCUROLACTONE"
"POPLAR MIXTURE","POPULUS ALBA POLLEN\POPULUS NIGRA POLLEN"
"PEDIARIX","DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS AND HEPATITIS B AND INACTIVATED POLIOVIRUS VACCINE COMBINED"
"DIPHTHERIA TOXOID NOS","CORYNEBACTERIUM DIPHTHERIAE TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)"
"DERMABOND","OCRYLATE"
"F-18 FLUORODEOXYGLUCOSE","FLUDEOXYGLUCOSE"
"18F-FDG","FLUDEOXYGLUCOSE"
"COMPARATOR BENDAMUSTINE","BENDAMUSTINE"
"BLINDED BENDAMUSTINE","BENDAMUSTINE"
"BENDMUSTINE","BENDAMUSTINE"
"BENDAMUSTINE (UNKNOWN)","BENDAMUSTINE"
"BENDAMUSTINE (TREANDA)","BENDAMUSTINE"
"BENDAMUSTINE HYDROCHORIDE","BENDAMUSTINE"
"BENDAMUSTINE (BENDAMUSTINE) (BENDAMUSTINE)","BENDAMUSTINE"
"BENDAMUSTINE","BENDAMUSTINE"
"BENDAMUSTINA","BENDAMUSTINE"
"BENDAMUSTIN","BENDAMUSTINE"
"ELCITONIN","ELCATONIN"
"ELCATONIN","ELCATONIN"
"VICKS VAPOPADS","CEDAR LEAF OIL\ETHYLENE GLYCOL\EUCALYPTUS OIL\MENTHOL"
"CUROSURF","PORACTANT ALFA"
"BACTINE LIQUID","BENZALKONIUM CHLORIDE\LIDOCAINE"
"ISOXSUPRINE","ISOXSUPRINE"
"TOTAL UNSPECIFIED TP (TRICLOSAN 0.3% W/W, SODIUM FLUORIDE 0.24 % W/W)","SODIUM FLUORIDE\TRICLOSAN"
"TOTAL TOOTHPASTE UNSPECIFIED","SODIUM FLUORIDE\TRICLOSAN"
"COLGATE TOTAL CLEAN MINT ANTIGINGIVITIS","SODIUM FLUORIDE\TRICLOSAN"
"COLGATE TOTAL ADVANCE WHITENING","SODIUM FLUORIDE\TRICLOSAN"
"COLGATE TOTAL ADVANCED CLEAN","SODIUM FLUORIDE\TRICLOSAN"
"AQUAFRESH COMPLETE CARE (SODIUM FLUORIDE, TRICLOSAN) TOOTHPASTE","SODIUM FLUORIDE\TRICLOSAN"
"SOLDESAM - LABORATORIO FARMACOLOGICO MILANESE S.R.L.","DEXAMETHASONE SODIUM PHOSPHATE"
"SOLDESAM - 8 MG/2 ML SOLUZIONE INIETTABILE","DEXAMETHASONE SODIUM PHOSPHATE"
"ORGADRONE","DEXAMETHASONE SODIUM PHOSPHATE"
"MYLAN DEXAMETHASONE","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXASINE SE","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXART (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXART","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHINATE","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE OPHTHALMIC SOLUTION USP 0.1%","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE INJECTION, USP (DEXAMETHASONE SODIUM PHOSPHATE) (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE INJECTION, USP (4905-25)","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE INJECTION, USP (4901-25) 4 MG/ML","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE INJECTION, USP (4901-25)","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE INJECTION, USP","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE INJECTION USP","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE INJECTION","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE.","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE PHPSPHATE SODIQUE QUALIMED","DEXAMETHASONE SODIUM PHOSPHATE"
